0|1|2|3|4|5|6|7
231376|Customer#000231376|971248.2991|4860.27|MOROCCO|64eCbcojuD|25-759-167-4227|ls. furiously regular asymptotes cajole quickly regular requests. slyly ironic instructions c
33481|Customer#000033481|811363.2968|5909.72|INDONESIA| iPRlvlQtJDoqxsj Qnag8|19-955-521-4866|eat blithely even deposits. regular, ironic foxes against the bravely even excu
264418|Customer#000264418|808460.1136|6530.21|SAUDI ARABIA|5Qhnv6M8bq|30-923-299-4186|unts promise carefully after the regular asymptotes. blithely ex
129238|Customer#000129238|786053.7175|7798.76|ROMANIA|eAPWSHGnIZSEfBXzzUov8RyN3nOMse4PyqCIgj|29-731-130-3971|egular packages nag blithely silent foxes. ironic pinto beans detect f
71116|Customer#000071116|774180.7604|5785.45|INDIA|sPUd7ALSak|18-384-922-7343|nic accounts. platelets detect after the ironic requests. quickly i
157105|Customer#000157105|755540.9124|4853.25|SAUDI ARABIA|933rGZ2GYb2YmOLKQN|30-171-737-6349| foxes. packages about the regular, unusual frays hinder blithely toward the blithely pending deposits. req
215896|Customer#000215896|731873.8733|6926.54|UNITED STATES|DSbPMZ8Vo,yg9cBMrjj|34-458-949-6359| final packages. ironic, regular foxes wake. unusual, 
428104|Customer#000428104|713375.4139|-821.65|EGYPT|43gVFTwhcCXrdb8KOvQ|14-623-479-9731| around the pending ideas. deposits run fluffily across the slyly unusual requests. deposits sleep careful
385558|Customer#000385558|712719.8253|9925.75|MOZAMBIQUE|WgXbbj6XZHA0po4XRyfxa|26-211-518-5882|eposits promise carefully. slyly even dolphins according to the slyly even packages run regular, daring requests.
285673|Customer#000285673|707205.6658|7958.37|ARGENTINA|,ld5X386OWe3GdCorn S|11-842-265-4463|totes sublate after the quickly unusual foxes. slyly enticing Tiresias nod carefully regular fox
143419|Customer#000143419|699086.3663|6951.65|RUSSIA|rXr YbemBGzYwlzyS13Cfbrvc|32-676-481-4023|lites sublate blithely special packages; slyly ironic requests cajole carefully. slyly silent requests boost slyl
445573|Customer#000445573|698321.7433|-302.84|JAPAN|xMOZ4Kkcea1hl6lj|22-330-861-1359|ly even requests haggle quickly among the express accou
62801|Customer#000062801|686436.5389|6479.46|ROMANIA|1tDIYWHrqqRHLwjEYel0onrc8|29-800-783-3915|en, pending deposits against the courts will use car
182515|Customer#000182515|671770.3825|550.3|BRAZIL|OJ9EGlEvV3ebqcRrQSIP0GGxVN1EjzjOfWVbT|12-176-561-9186|ily regular ideas. blithely even courts sleep blithely. instructions haggle furiously behind the cl
388027|Customer#000388027|670304.4853|-3.23|MOROCCO|J0AMLOgvJGvnOjYo8smrsbqQx|25-276-805-3550|tes integrate carefully ironic requests. excuses wake blithely final accounts. fluffily final ideas cajole furious
347308|Customer#000347308|669121.0111|5440.87|SAUDI ARABIA|y00sGzRa66fCRbZ8dSNqgwk,yXaux|30-193-639-2455|s. regular, even deposits are about the thinly ex
19000|Customer#000019000|664326.6983|8190.71|CHINA|GUqXbqwtXCwqDD|28-281-356-5440|ven platelets haggle fluffily accordi
447749|Customer#000447749|660491.4398|8191.91|INDONESIA|fR06GYJv8TK1x5,uoc 1dJGK7dx|19-334-166-7386|egular pinto beans. final, ironic ideas hang carefully. express deposits mold. pending requests are along the q
13930|Customer#000013930|660220.1756|-477.91|CANADA|wA2Pu7K2jPh,wOP6K3s4um2p m nTFNu6QTu|13-291-946-1716|along the furiously ironic requests haggle fluffily regular somas. slyly bold deposits nag s
446335|Customer#000446335|655206.1214|5038.49|JORDAN|85YZdhhbqfGzx5zUQtK,V7M5aLxhCLpx|23-821-651-7572| wake carefully even packages; quickly ironic foxes along the
